nickname,birthday
heboni,2000-08-16
fabet,2001-03-11
ltalia,1999-09-21
xenon,2001-02-01
cyberwolf,2002-03-01
frostbite,1999-04-01
shadowlord,2000-05-01
gumnut,2002-10-15
polun,1999-04-14
juytpor,2001-09-17
kytropu,2002-10-18
pojskm,2003-11-19
sdarci,2003-11-19
skwood,2002-10-15
blaze,2000-01-01
vex,2001-02-01
nova,2002-03-01
ryzo,1999-04-01
ion,2000-05-01
zephyr,2001-06-01
razor,2002-07-01
goliath,1999-08-01
storm,2000-09-01
titan,2001-10-01
quasar,2002-11-01
aurora,1999-12-01
mystic,2000-01-02
nebula,2001-02-02
cosmic,2002-03-02
galactic,1999-04-02
shadow,2000-05-02
midnight,2001-06-02
moonlight,2002-07-02
starlight,1999-08-02
galaxy,2000-09-02
comet,2001-10-02
meteor,2002-11-02
supernova,1999-12-02
orbit,2000-01-03
void,2001-02-03
eclipse,2002-03-03
solar,1999-04-03
lunar,2000-05-03
mercury,2001-06-03
venus,2002-07-03
mars,1999-08-03
jupiter,2000-09-03
saturn,2001-10-03
uranus,2002-11-03
neptune,1999-12-03
