title,parenttask,maxxp
C1_Pool,,0
C2_SimpleBashUtils,C1_Pool,250
C3_s21_string+,C2_SimpleBashUtils,500
C4_s21_math,C3_s21_string+,300
C5_s21_decimal,C4_s21_math,350
C6_s21_matrix,C5_s21_decimal,200
C7_SmartCalc_v1.0,C6_s21_matrix,500
C8_3DViewer_v1.0,C7_SmartCalc_v1.0,750
DO1_Linux,C8_3DViewer_v1.0,300
DO2_Linux_Network,DO1_Linux,250
DO3_LinuxMonitoring_v1.0,DO2_Linux_Network,350
DO4_LinuxMonitoring_v2.0,DO3_LinuxMonitoring_v1.0,350
DO5_SimpleDocker,DO4_LinuxMonitoring_v2.0,300
DO6_CICD,DO5_SimpleDocker,300
DOE-T_DevOps_Exam,DO6_CICD,200
CPP1_s21_matrix+,C8_3DViewer_v1.0,300
CPP2_s21_containers,CPP1_s21_matrix+,350
CPP3_SmartCalc_v2.0,CPP2_s21_containers,600
CPP4_3DViewer_v2.0,CPP3_SmartCalc_v2.0,750
CPP5_3DViewer_v2.1,CPP4_3DViewer_v2.0,600
CPP6_3DViewer_v2.2,CPP5_3DViewer_v2.1,800
CPP7_MLP,CPP6_3DViewer_v2.2,700
CPP8_PhotoLab_v1.0,CPP7_MLP,450
CPP9_MonitoringSystem,CPP8_PhotoLab_v1.0,1000
CPPE,CPP9_MonitoringSystem,400
A1_Maze,C8_3DViewer_v1.0,300
A2_SimpleNavigator_v1.0,A1_Maze,400
A3_Parallels,A2_SimpleNavigator_v1.0,400
A4_Crypto,A3_Parallels,350
A5_s21_memory,A4_Crypto,400
A6_Transactions,A5_s21_memory,700
A7_DNA_Analyzer,A6_Transactions,800
A8_Algorithmic_trading,A7_DNA_Analyzer,800
SQL1,C8_3DViewer_v1.0,1500
SQL2_Info21_v1.0,SQL1,500
SQL3_RetailAnalitycs_v1.0,SQL2_Info21_v1.0,600
